Category,Error Code,Description,Remedy
,Error code,Description,Remedy
,16#0000,No error,‑
RECEIVE status and error codes,16#0094,"frame end identified based on the ""Receipt of fixed/maximum frame length""",‑
RECEIVE status and error codes,16#0095,"frame end identified based on ""Message timeout""",‑
RECEIVE status and error codes,16#0096,"frame end identified based on expiration of the ""Character delay time""",‑
RECEIVE status and error codes,16#0097,The frame was aborted because the maximum response time was reached.,‑
RECEIVE status and error codes,16#0098,"frame end identified based on the fulfillment of the ""Read message length from message"" conditions",‑
RECEIVE status and error codes,16#0099,"frame end identified based on the receipt of the ""End sequence""",‑
SEND status and error codes,16#7000,Block idle,‑
SEND status and error codes,16#7001,Initial call for a new frame: Data transmission initiated,‑
SEND status and error codes,16#7002,Interim call: Data transmission running,‑
SEND status and error codes,16#8085,Invalid length,"Select a suitable frame length.
The following are valid (depending on the module):
1-1024/2048/4096 (Byte)"
SEND status and error codes,16#8088,"The specified length exceeds the range set in the receive buffer.
Note: If the data type STRING has been specified at the BUFFER parameter, this error code also appears if the current string is shorter than the length specified at the LENGTH parameter.","Change the range in the receive buffer or select a frame length which corresponds to the range set in the receive buffer.
The following are valid (depending on the module):
1-1024/2048/4096 (bytes)"
SEND status and error codes,16#8090,Configuration error: Odd number of bytes for WString,Select an even number of bytes.
RECEIVE status and error codes,16#8088,The number of characters received exceeds the number specified at the BUFFER parameter.,"Select a suitable frame length.
The following are valid (depending on the module):
1-1024/2048/4096 (bytes)"
RECEIVE status and error codes,16#8090,Configuration error: Odd number of bytes for WString,Select an even number of bytes.
Error message codes of the special functions,16#818F,Incorrect parameter number setting (with USS only),"Select a suitable parameter number (PARAM).
The following numbers are valid: 0-2047"
Error message codes of the special functions,16#8190,Incorrect setting of the CRC calculation,"Select a suitable value for the CRC calculation.
The following are valid: deactivated or activated.
Check whether the module addressed supports CRC calculation."
Error message codes of the special functions,16#8191,Incorrect setting of the diagnostic error interrupt,"Select a suitable value for ""Diagnostic error interrupt"".
The following are valid: Diagnostic error interrupt deactivated or diagnostic error interrupt activated.
Check whether the module addressed supports the generation of diagnostic interrupts."
"Error message codes of the ""Port configuration""",16#81A0,The module does not support this protocol.,Select a valid protocol for the module (PROTOCOL).
"Error message codes of the ""Port configuration""",16#81A1,The module does not support this data transmission rate.,Select a valid data transmission rate for the module (BAUD).
"Error message codes of the ""Port configuration""",16#81A2,The module does not support this parity setting.,"Select a suitable value for ""Parity"" (PARITY).
The following are valid:
None (1)
Even (2)
Odd (3)
Mark (4)
Space (5)
Any (6)"
"Error message codes of the ""Port configuration""",16#81A3,The module does not support this number of data bits.,"Select a suitable value for ""Number of data bits"" (DATABITS).
The following are valid:
7 (2)
8 (1)"
"Error message codes of the ""Port configuration""",16#81A4,The module does not support this number of stop bits.,"Select a suitable value for ""Number of stop bits"" (STOPBITS).
The following are valid:
1 (1)
2 (2)"
"Error message codes of the ""Port configuration""",16#81A5,The module does not support this type of data flow control.,Select a valid data flow control for the module (FLOWCTRL).
"Error message codes of the ""Port configuration""",16#81A7,Invalid value for XON or XOFF,"Select suitable values for XON (XONCHAR) and XOFF (XOFFCHAR).
Valid range of values: 0...255"
"Error message codes of the ""Port configuration""",16#81AA,Invalid operating mode,"Valid operating modes are:
Full duplex (RS232) (0)
Full duplex (RS422) four-wire mode (point-to-point) (1) / (CM PtP (ET 200SP))
Full duplex (RS422) four-wire mode (multipoint master) (2)/ (CM PtP (ET 200SP))
Full duplex (RS 422) four-wire mode (multipoint slave) (3)
Half duplex (RS485) two-wire mode. (4)"
"Error message codes of the ""Port configuration""",16#81AB,Invalid receive line initial state,"Valid initial states are:
""No"" default setting (0)
Signal R(A)=5 V, signal R(B)=0 V (break detection) (1):
Can only be selected with: ""Full duplex (RS422) four-wire mode (point-to-point connection)"" and ""Full duplex (RS422) four-wire mode (multipoint slave)"".
Signal R(A)=0 V, signal R(B)=5 V (2): This default setting corresponds to the idle state (no active send operation)."
"Error message codes of the ""Port configuration""",16#81AC,"Invalid value for ""Break detection""","Select a suitable value for ""Break detection"". The following are valid:
Break detection deactivated (0)
Break detection activated (1)."
"Error message codes of the ""Port configuration""",16#81AF,The module does not support this protocol.,Select a valid protocol for the module.
"Error codes of the ""Send configuration""",16#81B5,"More than two end delimiters or
end sequence > 5 characters","Select suitable values for ""End delimiter"" and ""End sequence"".
The following are valid:
deactivated (0),
1 (1) or 2 (2) end delimiters
or
deactivated (0),
1 (1) up to 5 (5) characters for the end sequence."
"Error codes of the ""Send configuration""",16#81B6,Send configuration rejected because the 3964(R) protocol was selected,Make sure that no send configuration is transmitted if the 3964(R) protocol is set.
"Error codes of the ""Receive configuration""",16#81C0,Invalid start condition,"Select a suitable start condition.
The following are valid:
Send break before frame start
Send Idle Line."
"Error codes of the ""Receive configuration""",16#81C1,Invalid end condition or no end condition selected,Select a suitable end condition (see Receiving data with Freeport (S7-1500)).
"Error codes of the ""Receive configuration""",16#81C3,"Invalid value for ""Maximum message length""","Select a suitable value for ""Maximum message length"" (MAXLEN).
Valid range of values (depending on the module): 1-1024/2048/4096 (Byte)"
"Error codes of the ""Receive configuration""",16#81C4,"Invalid value for ""Offset of the length specification in the message""","Select a suitable value for ""Offset of the length specification in the message"".
Valid range of values (depending on the module): 1-1024/2048/4096 (Byte)"
