category,error_code,description,remedy,error_type,description_cleaned,remedy_cleaned
,16#0000,No error,No Remedy,Modbus,no error,no Remedy
Configuration error of the interface - Modbus_Comm_Load,16#8181,The module does not support this data transmission rate.,Select a valid data transmission rate for the module at the BAUD parameter.,Modbus,module doe support data transmission rate,Select valid data transmission rate module BAUD parameter
Configuration error of the interface - Modbus_Comm_Load,16#8182,The module does not support this parity setting.,"Select a suitable value for ""Parity"" at the PARITY parameter.
The following are valid:
None (1)
Even (2)
Odd (3)
Mark (4)
Space (5)
Any (6)",Modbus,module doe support parity setting,Select suitable value Parity PARITY parameter following valid None 1 Even 2 Odd 3 Mark 4 Space 5 6
Configuration error of the interface - Modbus_Comm_Load,16#8183,The module does not support this type of data flow control.,Select a valid data flow control for the module at the FLOW_CTRL parameter.,Modbus,module doe support type data flow control,Select valid data flow control module FLOWCTRL parameter
Configuration error of the interface - Modbus_Comm_Load,16#8184,"Invalid value for ""Response timeout"".","Select a suitable value for ""Response timeout"" at the RESP_TO parameter.
Valid range of values: 1 to 65535 (ms)",Modbus,Invalid value Response timeout,Select suitable value Response timeout RESPTO parameter Valid range value 1 65535
Configuration error of the interface - Modbus_Comm_Load,16#8280,Negative acknowledgment when reading module,"Check the input at the PORT parameter.
You can find more detailed information on error causes in the Send_Config.RDREC.STATUS or Receive_Config.RDREC.STATUS static parameters or RDREC.STATUS and in the description of the SFB RDREC.",Modbus,Negative acknowledgment reading module,Check input PORT parameter find detailed information error cause SendConfigRDRECSTATUS ReceiveConfigRDRECSTATUS static parameter RDRECSTATUS description SFB RDREC
Configuration error of the interface - Modbus_Comm_Load,16#8281,Negative acknowledgment when writing module,"Check the input at the PORT parameter.
You can find more detailed information on error causes in the Send_Config.WRREC.STATUS or Receive_Config.WRREC.STATUS static parameters or WRREC.STATUS and in the description of the SFB WRREC.",Modbus,Negative acknowledgment writing module,Check input PORT parameter find detailed information error cause SendConfigWRRECSTATUS ReceiveConfigWRRECSTATUS static parameter WRRECSTATUS description SFB WRREC
Configuration error of the interface - Modbus_Comm_Load,16#8282,Module not available,Check the input at the PORT parameter and ensure that the module can be reached.,Modbus,Module available,Check input PORT parameter ensure module reached
Configuration error - Modbus_Slave,16#8186,Invalid slave address,"Select a suitable slave address at the MB_ADDR parameter.
The following are valid: 1-247 at standard address area;
1-65535 at extended address area
(0 is reserved for Broadcast)",Modbus,Invalid slave address,Select suitable slave address MBADDR parameter following valid 1247 standard address area 165535 extended address area 0 reserved Broadcast
Configuration error - Modbus_Slave,16#8187,Invalid value at MB_HOLD_REG parameter,Select a suitable value for the hold register at the MB_HOLD_REG parameter.,Modbus,Invalid value MBHOLDREG parameter,Select suitable value hold register MBHOLDREG parameter
